,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
0,Adamowicz,Poland,Group of the European People's Party (Christian Democrats),197490,Independent,
1,Ademov,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens For European Development Of Bulgaria,
2,Adinolfi,Italy,Group of the European People's Party (Christian Democrats),124831,Forza Italia,
3,Adinolfi,Italy,Identity and Democracy Group,197826,Lega,
4,Agius Saliba,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,
5,Aguilar,Spain,European Conservatives and Reformists Group,198096,Vox,
6,Aguilera,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Espanol,
7,Alametsa,Finland,Group of the Greens/European Free Alliance,204335,Vihrea Liitto,
8,Alexandrov Yordanov,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union Of Democratic Forces,
9,Alfonsi,France,Group of the Greens/European Free Alliance,96750,Regions Et Peuples Solidaires,
10,Alieva Veli,Bulgaria,Renew Europe Group,197848,Movement For Rights And Freedoms,
11,Al Sahlani,Sweden,Renew Europe Group,197400,Centerpartiet,
12,Amaro,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,
13,Ameriks,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,Gods Kalpot Rigai,
14,Anderson,Germany,Identity and Democracy Group,197475,Alternative Fur Deutschland,
15,Andresen,Germany,Group of the Greens/European Free Alliance,197448,Bundnis 90/Die Grunen,
16,Andrews,Ireland,Renew Europe Group,204332,Fianna Fail Party,
17,Andrieu,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti Socialiste,
18,Androuet,France,Identity and Democracy Group,197691,Rassemblement National,
19,Androulakis,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,Pasok Kinal,
20,Angel,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti Ouvrier Socialiste Luxembourgeois,
21,Annemans,Belgium,Identity and Democracy Group,124973,Vlaams Belang,
22,Ansip,Estonia,Renew Europe Group,124696,Eesti Reformierakond,
23,Ara Kovacs,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,Demokratikus Koalicio,
24,Arena,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste,
25,Arias Echeverria,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular,
26,Arimont,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei,
27,Arukowicz,Poland,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska,
28,Arvanitis,Greece,The Left group in the European Parliament - GUE/NGL,197701,Coalition Of The Radical Left,
29,Asimakopoulou,Greece,Group of the European People's Party (Christian Democrats),197695,Nea Demokratia,
30,Aubry,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise,
31,Auken,Denmark,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti,
32,Austrevicius,Lithuania,Renew Europe Group,124766,Lietuvos Respublikos Liberalu Sajudis,
33,Avram,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,Partidul Social Democrat,
34,Azmani,Netherlands,Renew Europe Group,197781,Volkspartij Voor Vrijheid En Democratie,
35,Baldassarre,Italy,Identity and Democracy Group,197789,Lega,
36,Pawe Balt,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,Nowa Lewica,
37,Bardella,France,Identity and Democracy Group,131580,Rassemblement National,
38,Barley,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands,
39,Barrena Arza,Spain,The Left group in the European Parliament - GUE/NGL,197684,Eh Bildu,
40,Bartolo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico,
41,Basescu,Romania,Group of the European People's Party (Christian Democrats),197671,Partidul Miscarea Populara,
42,Basso,Italy,Identity and Democracy Group,197610,Lega,
43,Ramon Bauza Diaz,Spain,Renew Europe Group,197779,Ciudadanos  Partido De La Ciudadania,
44,Bay,France,Non-attached Members,124760,Reconquete!,
45,Beck,Germany,Identity and Democracy Group,132191,Alternative Fur Deutschland,
46,Beer,Germany,Renew Europe Group,197437,Freie Demokratische Partei,
47,Beghin,Italy,Non-attached Members,124777,Movimento 5 Stelle,
48,Beigneux,France,Identity and Democracy Group,197680,Rassemblement National,
49,Belka,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,Nowa Lewica,
50,Bellamy,France,Group of the European People's Party (Christian Democrats),197534,Les Republicains,
51,Benea,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,Partidul Social Democrat,
52,Benifei,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico,
53,Benjumea Benjumea,Spain,Group of the European People's Party (Christian Democrats),197679,Partido Popular,
54,Benova,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,Smer Socialna Demokracia,
55,Bentele,Germany,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands,
56,Berendsen,Netherlands,Group of the European People's Party (Christian Democrats),197778,Christen Democratisch Appel,
57,Patrick Berg,Germany,European Conservatives and Reformists Group,197478,Liberal Conservative Refomists,
58,Berger,Germany,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands,
59,Bergkvist,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197396,Arbetarepartiet  Socialdemokraterna,
60,Berlato,Italy,European Conservatives and Reformists Group,4746,Fratelli D'Italia,
61,Berlusconi,Italy,Group of the European People's Party (Christian Democrats),4391,Forza Italia,
62,Bernhuber,Austria,Group of the European People's Party (Christian Democrats),197648,Osterreichische Volkspartei,
63,Biedron,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197498,Nowa Lewica,
64,Bielan,Poland,European Conservatives and Reformists Group,23788,Partia Republikanska,
65,Bijoux,France,Renew Europe Group,197551,La Republique En Marche,
66,Bilbao Barandica,Spain,Renew Europe Group,96922,Partido Nacionalista Vasco,
67,Bilcik,Slovakia,Group of the European People's Party (Christian Democrats),197771,Spolu  Obcianska Demokracia,
68,Bilde,France,Identity and Democracy Group,124771,Rassemblement National,
69,Bischoff,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands,
70,Biteau,France,Group of the Greens/European Free Alliance,197512,Europe Ecologie,
71,Bizzotto,Italy,Identity and Democracy Group,97198,Lega,
72,Bjork,Sweden,The Left group in the European Parliament - GUE/NGL,124992,Vansterpartiet,
73,Blaga,Romania,Group of the European People's Party (Christian Democrats),197637,Partidul National Liberal,
74,Blasko,Czechia,Identity and Democracy Group,197564,Svoboda A Prima Demokracie,
75,Blinkeviciute,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos Socialdemokratu Partija,
76,Bloss,Germany,Group of the Greens/European Free Alliance,197449,Bundnis 90/Die Grunen,
77,Bocskor,Hungary,Non-attached Members,124712,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
78,Boeselager,Germany,Group of the Greens/European Free Alliance,197439,Volt,
79,Bogdan,Romania,Group of the European People's Party (Christian Democrats),197636,Partidul National Liberal,
80,Bogovic,Slovenia,Group of the European People's Party (Christian Democrats),125004,Slovenska Ljudska Stranka,
81,Bompard,France,The Left group in the European Parliament - GUE/NGL,197521,La France Insoumise,
82,Bonafe,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124814,Partito Democratico,
83,Bonfrisco,Italy,Identity and Democracy Group,197788,Lega,
84,Borchia,Italy,Identity and Democracy Group,101039,Lega,
85,Borzan,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112748,Socijaldemokratska Partija Hrvatske,
86,Botenga,Belgium,The Left group in the European Parliament - GUE/NGL,187917,Parti Du Travail De Belgique,
87,Botos,Romania,Renew Europe Group,197668,Uniunea Salvati Romania,
88,Bourgeois,Belgium,European Conservatives and Reformists Group,197467,Nieuw Vlaamse Alliantie,
89,Boyer,France,Renew Europe Group,197577,Horizons,
90,Braunsberger Reinhold,Germany,Group of the European People's Party (Christian Democrats),226260,Christlich Demokratische Union Deutschlands,
91,Breyer,Germany,Group of the Greens/European Free Alliance,197431,Piratenpartei Deutschland,
92,Brglez,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197446,Socialni Demokrati,
93,Bricmont,Belgium,Group of the Greens/European Free Alliance,197470,Ecologistes Confederes Pour L'Organisation De Luttes Originales,
94,Stanisaw Brudzinski,Poland,European Conservatives and Reformists Group,197501,Prawo I Sprawiedliwosc,
95,Bruna,France,Identity and Democracy Group,182995,Rassemblement National,
96,Brunet,France,Renew Europe Group,197576,Mouvement Democrate,
97,Buchheit,Germany,Identity and Democracy Group,128483,Alternative Fur Deutschland,
98,Buda,Romania,Group of the European People's Party (Christian Democrats),125012,Partidul National Liberal,
99,Bullmann,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands,
100,Burkhardt,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197440,Sozialdemokratische Partei Deutschlands,
101,Buschmann,Germany,Non-attached Members,197434,Independent,
102,Busoi,Romania,Group of the European People's Party (Christian Democrats),38420,Partidul National Liberal,
103,Butikofer,Germany,Group of the Greens/European Free Alliance,96739,Bundnis 90/Die Grunen,
104,Buxade Villalba,Spain,European Conservatives and Reformists Group,197829,Vox,
105,Buzek,Poland,Group of the European People's Party (Christian Democrats),28269,Platforma Obywatelska,
106,Calenda,Italy,Renew Europe Group,197617,Azione,
107,Campomenosi,Italy,Identity and Democracy Group,35016,Lega,
108,Canas,Spain,Renew Europe Group,126644,Ciudadanos  Partido De La Ciudadania,
109,Canfin,France,Renew Europe Group,96711,Liste Renaissance,
110,Careme,France,Group of the Greens/European Free Alliance,197574,Europe Ecologie,
111,Caroppo,Italy,Group of the European People's Party (Christian Democrats),197797,Forza Italia,
112,Carvalhais,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199996,Partido Socialista,
113,Da Graca Carvalho,Portugal,Group of the European People's Party (Christian Democrats),96867,Partido Social Democrata,
114,Casa,Malta,Group of the European People's Party (Christian Democrats),28122,Partit Nazzjonalista,
115,Casanova,Italy,Identity and Democracy Group,197796,Lega,
116,Caspary,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands,
117,Massimo Castaldo,Italy,Non-attached Members,124812,Movimento 5 Stelle,
