hasc_1,Region,IDPs,LastUpdated,Source
UA.CK,Cherkasy,0,0,
UA.CH,Chernihiv,0,0,
UA.CV,Chernivtsi,84868,22.03,https://bukoda.gov.ua/news/produkti-zasobi-gigyeni-kovdri-mizhnarodna-gromadska-organizaciya-nadast-dopomogu-pereselencyam-na-bukovini
UA.KR,Crimea,0,0,
UA.DP,Dnipropetrovsk,156012,0,
UA.DT,Donetsk,-392906,0,
UA.KK,Kharkiv,-354075,0,
UA.KS,Kherson,-103207,0,
UA.KM,Khmelnytskyy,131003,0,
UA.KC,Kiev City,0,0,
UA.KV,Kiev,-357499,0,
UA.KH,Kirovohrad,71942,0,
UA.LV,Lviv,208930,24.03,https://loda.gov.ua/news?id=66637
UA.LH,Luhansk,-121854,0,
UA.MY,Mykolayiv,-71279,0,
UA.OD,Odessa,34205,0,
UA.PL,Poltava,173541,0,
UA.RV,Rivne,57734,25.03,https://www.rv.gov.ua/news/rivnenshchina-prodovzhuye-prijmati-vnutrishno-peremishchenih-osib
UA.SC,Sevastopol',0,0,
UA.SM,Sumy,-32382,0,
UA.IF,Ivano-Frankivsk,122530,23.03,https://www.if.gov.ua/news/lyudmila-sirko-ivano-frankivshchina-stala-drugoyu-domivkoyu-dlya-ponad-92-tisyach-lyudej-iz-regioniv-yaki-postrazhdali-vid-rosijskoyi-agresiyi
UA.TP,Ternopil',83483,24.03,https://oda.te.gov.ua/news/misyac-nezlamnosti
UA.ZK,Transcarpathia,135720,21.03,https://www.ukrinform.ua/rubric-regions/3435917-zakarpatta-potrebue-bilse-likiv-cerez-veliku-kilkist-vimusenih-pereselenciv.html
UA.VI,Vinnytsya,159394,0,
UA.VO,Volyn,50283,20.03,https://www.volynnews.com/news/all/volyn-pryyniala-mayzhe-25-tysiach-pereselentsiv-/
UA.ZP,Zaporizhzhya,-51819,0,
UA.ZT,Zhytomyr,45638,0,
